Online_risk,Total,Male,Female,9–11,12–14,15–17
Had contact on the Internet with someone that my child had not met face-to-face before?,8.5,12,5,4,7,13
Been treated in a hurtful or nasty way on the Internet by someone?,3.5,4,3,2,4,4
Treated someone else in a hurtful or nasty way on the Internet?,1.6,2,1,2,2,1
My child met someone in person that they first got to know on the Internet?,5,5,4,3,4,7
Ways of physically harming or hurting themselves,8,10,6,7,8,9
Ways of committing suicide,4.2,5,3,4,3,5
Hate messages that attack certain groups or individuals,7.9,10,6,4,8,11
Experiences of taking drugs,5.9,8,3,2,5,10
Abuse or violence,10.5,13,7,5,11,15
Gambling (online gambling),3.7,6,1,2,3,6
