Mediation,Total,Male,Female,9–11,12–14,15–17
Encourages me to explore and learn things ,16.2,16,16,14,18,16
Suggests ways to use the Internet safely,36,32,41,40,40,29
Talks to me about what I do on the Internet,38.4,34,43,40,46,31
Stays nearby when I use the Internet,27.6,18,38,35,32,18
Does shared activities together with me ,17.6,15,21,23,17,13
Talks to me about what to do if something online bothers or upsets me,31.8,25,39,34,36,27
Helps me when something is difficult to do or find on the Internet,27.8,24,31,40,28,17
Helps me when something bothers me on the Internet,34.1,28,41,40,38,25
Talks to me about the commercial activities I am exposed to online,13.1,12,14,13,13,12
,,,,,,
