Skill,Parents,Children,9–11 ,12–14 ,15–17 
I know how to install apps on a mobile device,54.6,80.1,66,79,91
I know how to remove people from my contact list,70.2,71.8,44,78,89
I know how to save a photo that I find online,55.7,66.7,43,69,84
I know when I should and shouldn’t share information online,68.7,64.6,33,71,85
I know how to open a new tab in browser,54.5,63,48,60,77
I find it easy to find a website I have visited before,53.6,61.1,43,63,74
I understand which information I should and shouldn’t share ,62.6,59.6,31,63,80
I know how to open downloaded files,44.3,54.4,28,55,74
I know how to change my privacy settings,47.3,53.7,19,54,82
I find it easy to choose the best keywords for online searches,48.6,48.6,30,48,65
I know how to post online video or music that I have created,37.3,46.1,25,46,63
I know how to edit online content that others have created,24.2,45.4,25,40,66
I find it easy to check if the information I find online is true,32.9,36.2,17,35,52
I know how to block pop-ups that I don’t want,26.5,34.5,18,31,51
I find it easy to decide if a website can be trusted,29.9,34.2,16,32,50
I know how to use a programming language ,18,24.3,8,23,37
I know how to design a website,11.5,20.2,10,16,32
